hist,,119,,126,,434,,245,,460,,534,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1979.611650485437,250.5219206680581,2014.8058252427184,526.0960334029223,2014.8058252427184,526.0960334029223,2015.2912621359224,532.3590814196241,2014.8058252427184,538.6221294363258,2015.0485436893205,526.0960334029223,2014.8058252427184,519.8329853862215,2014.8058252427184,526.0960334029223,2015.0485436893205,532.3590814196241
1992.2330097087379,338.20459290187864,2024.2718446601941,613.7787056367429,2029.126213592233,676.4091858037577,2027.6699029126214,663.8830897703551,2029.8543689320388,695.1983298538621,2029.3689320388348,707.7244258872652,2028.398058252427,707.7244258872652,2026.6990291262136,682.6722338204595,2031.3106796116504,751.5657620041752
2000,400.83507306889305,2038.5922330097087,726.5135699373695,2044.6601941747572,826.7223382045927,2041.7475728155339,801.670146137787,2047.8155339805826,945.7202505219207,2046.6019417475727,939.4572025052194,2041.2621359223301,920.668058455115,2043.9320388349515,945.7202505219207,2045.388349514563,1008.3507306889351
2010.1941747572814,488.5177453027136,2050,770.3549060542791,2058.009708737864,908.1419624217119,2049.757281553398,864.3006263048014,2062.135922330097,1121.0855949895613,2062.6213592233007,1183.7160751565762,2052.912621359223,1114.82254697286,2060.6796116504856,1227.5574112734862,2060.6796116504856,1396.659707724426
2014.8058252427184,532.3590814196241,2067.4757281553398,789.1440501043844,2076.4563106796118,951.983298538622,2068.6893203883496,951.983298538622,2073.3009708737864,1258.8726513569936,2080.339805825243,1415.4488517745303,2066.747572815534,1240.0835073068893,2073.3009708737864,1496.8684759916491,2073.0582524271845,1810.0208768267223
,,2081.3106796116504,782.8810020876826,2100,951.983298538622,2088.106796116505,995.824634655532,2090.0485436893205,1402.9227557411273,2091.504854368932,1521.9206680584552,2080.5825242718447,1240.0835073068893,2088.8349514563106,1828.8100208768267,2086.4077669902913,2292.275574112735
,,2092.233009708738,764.0918580375783,,,2100.242718446602,995.824634655532,2100,1465.553235908142,2099.757281553398,1603.340292275574,2093.2038834951454,1215.0313152400836,2100,2098.1210855949894,2094.4174757281553,2599.1649269311065
,,2100,739.0396659707721,,,,,,,,,2100.242718446602,1183.7160751565762,,,2100,2805.8455114822546
