hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1980,3.9759036144578204,2016.2790697674418,9.638554216867462,2014.8837209302324,9.27710843373493,2015.1162790697674,9.397590361445772,2014.8837209302324,9.27710843373493
1989.0697674418604,5.662650602409627,2014.6511627906975,9.397590361445772,2024.8837209302324,10.722891566265055,2025.1162790697674,12.289156626506013,2025.581395348837,12.289156626506013
1999.3023255813953,6.987951807228903,2020.9302325581393,10.602409638554207,2035.813953488372,12.409638554216862,2038.3720930232557,15.421686746987945,2033.9534883720928,16.74698795180722
2009.53488372093,8.072289156626496,2028.8372093023254,10.84337349397589,2048.3720930232557,13.253012048192758,2054.4186046511627,17.590361445783124,2048.6046511627906,22.650602409638545
2015.813953488372,9.638554216867462,2037.2093023255813,9.759036144578303,2061.860465116279,12.650602409638545,2069.767441860465,19.999999999999993,2058.3720930232557,28.313253012048182
,,2046.7441860465115,7.710843373493965,2075.813953488372,10.602409638554207,2082.7906976744184,22.048192771084324,2068.139534883721,33.253012048192765
,,2057.209302325581,5.662650602409627,2086.9767441860463,7.590361445783117,2094.186046511628,24.09638554216866,2077.441860465116,37.590361445783124
,,2068.139534883721,3.6144578313252964,2100,5.301204819277096,2100,25.060240963855414,2086.7441860465115,39.63855421686746
,,2076.7441860465115,1.3253012048192687,,,,,2099.767441860465,40.12048192771084
,,2086.046511627907,-0.12048192771085553,,,,,,
,,2100,-0.4819277108433866,,,,,,
