hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1978.8467573221756,264.2887029288704,2014.1762552301254,506.07740585774036,2014.4299163179915,499.5972803347281,2014.4299163179915,499.5972803347281,2014.4299163179915,499.5972803347281
1986.1663179916318,306.1663179916318,2022.9314853556484,579.3200836820083,2026.0721757322176,622.7981171548117,2026.3101464435144,629.0899581589961,2025.826359832636,622.8922594142259
1994.6992677824267,360.3451882845188,2032.8844142259413,677.6359832635981,2041.3624476987447,776.5167364016734,2041.276150627615,846.7625523012553,2041.7442468619247,865.732217573222
2003.4701882845188,420.8158995815902,2045.5726987447697,749.3723849372386,2049.1265690376567,856.5219665271966,2059.6208158995814,1114.2050209205022,2056.5690376569037,1198.3525104602509
2008.8310669456066,457.060669456067,2056.317991631799,802.7039748953971,2063.925209205021,1010.4288702928866,2074.3096234309623,1357.5156903765687,2072.2594142259413,1626.385983263598
2014.6600418410042,512.2751046025105,2075.9440376569037,827.1025104602509,2080.2301255230127,1138.2269874476983,2088.4754184100416,1626.5585774058572,2083.858263598326,1998.9225941422592
,,2090.2248953974895,802.4843096234308,2091.2212343096235,1191.4644351464435,2097.581066945607,1814.5606694560665,2091.338912133891,2295.6746861924685
,,2099.105648535565,773.5512552301252,2098.3185146443516,1214.278242677824,,,2096.725941422594,2510.632845188284
