hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1979.5674232309746,142.83044058745008,2015.0120160213617,382.9105473965287,2015.289719626168,382.8704939919894,2014.9986648865151,375.7009345794395,2015.2763684913216,375.66088117490017
1989.6849132176233,206.2750333778372,2026.6248331108143,503.8317757009345,2025.7917222963952,503.9519359145529,2026.94259012016,525.4205607476638,2026.6381842456608,511.0413885180242
2000.0667556742321,262.4699599465953,2039.335113484646,617.3831775700937,2041.663551401869,674.7396528704944,2042.0614152202936,739.5861148197596,2041.2283044058743,739.706275033378
2015.5807743658208,390.0400534045398,2050.3257676902535,702.336448598131,2050.750333778371,781.6021361815756,2054.667556742323,946.9025367156205,2055.938584779706,1033.2576769025368
,,2064.6355140186915,779.5994659546063,2061.8210947930575,909.8130841121497,2073.901201602136,1283.070761014686,2070.267022696929,1420.614152202937
,,2080.5180240320424,806.1548731642192,2076.833110814419,1066.3017356475298,2089.789052069426,1612.5100133511344,2083.578104138852,1858.5981308411212
,,2092.723631508678,797.1829105473967,2088.947930574099,1158.304405874499,2103.097463284379,1899.0520694259008,2093.078771695594,2188.958611481976
,,2101.0280373831774,781.5620827770358,2101.8558077436583,1228.5580774365817,,,2104.1014686248327,2591.2149532710273
