hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1979.9457994579946,133.80281690140873,2014.0921409214093,359.1549295774648,2014.9051490514905,359.1549295774648,2014.3631436314363,359.1549295774648,2014.9051490514905,359.1549295774648
1989.7018970189702,176.0563380281692,2022.7642276422764,450.70422535211264,2023.8482384823849,464.78873239436643,2026.5582655826558,485.91549295774666,2025.4742547425474,478.8732394366193
1999.4579945799458,246.47887323943678,2034.6883468834687,577.4647887323945,2038.7533875338754,626.7605633802814,2039.8373983739837,704.2253521126763,2039.2953929539294,690.1408450704225
2008.4010840108401,316.90140845070437,2046.6124661246613,683.0985915492961,2050.1355013550137,774.6478873239435,2050.4065040650407,866.1971830985917,2050.1355013550137,929.5774647887324
2014.3631436314363,373.2394366197186,2050.9485094850947,718.3098591549292,2066.6666666666665,992.9577464788736,2064.2276422764226,1133.8028169014083,2062.872628726287,1281.6901408450703
,,2062.059620596206,788.7323943661972,2081.8428184281843,1147.887323943662,2078.319783197832,1401.4084507042253,2076.4227642276423,1739.4366197183099
,,2075.609756097561,823.9436619718308,2092.9539295392956,1232.394366197183,2088.7533875338754,1626.7605633802818,2088.0758807588077,2204.225352112676
,,2092.682926829268,830.9859154929577,2099.728997289973,1267.605633802817,2099.457994579946,1894.3661971830986,2099.457994579946,2654.9295774647885
,,2099.457994579946,823.9436619718308,,,,,,
