hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1980.0970873786407,126.05042016806738,2015.5339805825242,365.546218487395,2015.0485436893202,371.8487394957988,2015.5339805825242,371.8487394957988,2015.7766990291261,365.546218487395
1988.1067961165047,170.1680672268908,2024.2718446601941,453.7815126050423,2028.1553398058252,497.89915966386616,2028.1553398058252,510.5042016806724,2032.52427184466,573.5294117647059
1993.4466019417475,201.68067226890798,2035.6796116504854,573.5294117647059,2040.7766990291261,642.8571428571431,2040.0485436893202,705.882352941177,2046.3592233009708,850.840336134454
2000.2427184466019,239.49579831932806,2047.0873786407765,674.3697478991598,2050,768.9075630252105,2055.0970873786405,939.0756302521008,2060.4368932038833,1178.571428571429
2007.7669902912621,308.82352941176487,2052.1844660194174,712.1848739495799,2064.5631067961162,945.3781512605042,2071.6019417475727,1254.201680672269,2072.0873786407765,1550.4201680672272
2015.5339805825242,371.8487394957988,2066.019417475728,794.1176470588234,2078.883495145631,1102.9411764705883,2087.6213592233007,1588.2352941176473,2083.009708737864,1953.781512605042
,,2080.5825242718447,813.0252100840335,2092.4757281553398,1222.6890756302523,2100.242718446602,1890.7563025210086,2092.9611650485435,2357.1428571428573
,,2092.4757281553398,813.0252100840335,2100.4854368932038,1247.8991596638657,,,2100.242718446602,2640.7563025210084
,,2100.4854368932038,806.7226890756306,,,,,,
