hist,,119,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1979.963989196759,167.00010003000853,2014.9534860458136,431.52945883765096,2015.1900570171051,437.6062818845653,2015.1945583675101,431.3794138241469,2014.9489846954086,437.75632689806935,2014.9489846954086,437.75632689806935
1990.5036510953285,253.80114034210237,2023.0779233770131,526.0578173452031,2028.0999299789937,578.9486846053815,2025.225067520256,555.8417525257573,2027.372211663499,585.625687706312,2024.265279583875,550.2150645193565
2000.338101430429,316.14484345303526,2031.229368810643,583.2249674902469,2045.5856757027107,723.6671001300388,2043.8621586475942,774.5323597079118,2043.3259977993398,849.5548664599373,2040.7012103631089,813.8441532459738
2007.2886866059816,367.8353506051817,2045.894268280484,630.1140342102626,2064.8084425327597,798.8396518955683,2054.602380714214,917.2251675502648,2058.779633890167,1138.6916074822443,2055.159047714314,1147.1691507452233
2014.9534860458136,431.52945883765096,2058.6530959287784,647.0691207362206,2082.156646994098,800.4901470441132,2072.7708312493746,1117.5352605781732,2077.5362608782634,1525.3576072821845,2073.0619185755727,1714.8644593378012
,,2074.5773732119633,618.4855456636988,2099.7729318795637,764.6293888166451,2086.667500250075,1227.1431429428826,2090.8022406722016,1840.7522256677,2085.2420726217865,2198.9846954086224
,,2087.6132839851953,585.4756426928075,,,2098.4305291587475,1288.2864859457832,2098.8411523457034,2053.5910773231963,2097.895368610583,2695.2585775732714
,,2099.6894068220463,546.8390517155149,,,,,,,,
