hist,,126,,245,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y
1979.6208530805686,4.661190965092402,2015.1658767772512,10.45174537987679,2014.9289099526065,9.589322381930188,2015.1658767772512,10.205338809034906,2015.1658767772512,9.835728952772072
1992.1800947867298,5.770020533880903,2021.0900473933648,11.80698151950719,2025.1184834123223,10.944558521560573,2026.5402843601896,13.285420944558517,2024.170616113744,12.792607802874741
2004.0284360189573,7.74127310061602,2027.0142180094786,11.067761806981515,2035.5450236966824,12.422997946611908,2040.047393364929,15.995893223819301,2032.7014218009479,15.74948665297741
2012.7962085308056,9.342915811088297,2035.308056872038,9.835728952772072,2048.5781990521327,12.053388090349081,2050.2369668246447,17.351129363449687,2042.654028436019,19.81519507186858
2016.1137440758293,10.698151950718682,2046.4454976303318,7.494866529774129,2060.4265402843603,11.930184804928132,2067.7725118483413,19.445585215605746,2050.2369668246447,22.648870636550306
,,2054.028436018957,5.770020533880903,2071.563981042654,9.958932238193022,2083.4123222748813,21.663244353182748,2060.4265402843603,28.069815195071868
,,2060.6635071090045,4.291581108829568,2083.649289099526,8.234086242299789,2096.682464454976,23.757700205338807,2069.1943127962086,32.13552361396304
,,2070.1421800947865,2.5667351129363425,2092.18009478673,6.139630390143736,2100.2369668246447,24.373716632443532,2077.2511848341233,35.831622176591374
,,2079.1469194312795,0.2258726899383987,2100,4.784394250513344,,,2086.729857819905,38.049281314168375
,,2090.047393364929,-0.7597535934291599,,,,,2095.260663507109,38.66529774127309
,,2100,-1.2525667351129357,,,,,2100.2369668246447,38.78850102669404
