MIROC,,CESM,,MPI,,Gilfillian,,UKESM,,CanESM,,IPSL,,CNRM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1931.9584775394276,27.739183737165263,1965.644689375563,49.6297175761714,1932.4828041608241,40.272645272571026,1930.3642965623346,39.84802837595157,1933.002099174017,59.0725377579239,1931.870315128949,70.30616939493325,1934.1674787980126,65.88553647665265,2000.2291392177265,351.71289631597426
1934.4940882684461,29.17830896489579,1972.4809499545702,66.73444047036014,1934.8562886763566,40.881737892764704,1934.543120464226,44.80788352799743,1941.6117138197546,71.00864239671921,1936.1043841167814,73.4122213812334,1935.847541127681,67.61302642188934,1931.1955892610677,101.57908015612713
1937.051733603729,32.55377718653722,1983.5773410132651,116.06981196479717,1938.2402147410253,45.31022318083956,1938.0368847795867,46.170285392024425,1950.2610803023383,76.37514037092546,1938.6525276721657,77.07079751573008,1938.2004433605034,73.12199779364107,1934.2273044330004,107.62084267078251
1939.6102264238682,36.003720138713675,1997.277301492288,192.94212512924014,1940.9521499356617,49.27432560118325,1941.7117090376614,52.12300203321411,1969.15797782318,96.73300584239871,1940.6440673370025,79.89476096954456,1942.6814076063865,79.475915564724,1937.6343974315212,112.68755287098736
1942.144142183174,37.293895905373915,2001.4442086377796,216.98055337063363,1943.4408419842,50.61551835716659,1946.1372889489123,56.1256140455024,1977.9820061375692,127.51121730656018,1943.033914934807,83.28351711412222,1951.7304911209721,82.7357860524479,1940.5479784113227,119.66874935070712
1944.666193154491,37.541425444543506,2006.7612806555535,251.52639468099312,1945.9544181069537,50.11830059098577,1950.1770034084782,60.18165358187025,1985.947324418852,163.33140400607488,1955.7278373340764,83.82333298704384,1962.3472217412645,91.93244386399726,1943.997021910232,128.42195871239664
1947.1857016712393,37.56553079210801,2009.1479739040624,270.0677243337637,1948.4867236450325,51.26697436962945,1953.1877433302168,64.38016651578334,1989.8109918885805,180.84771671539454,1959.9510302662527,85.9736259314775,1969.0473997047561,107.14147905195819,1947.789980360438,133.43524138852194
1949.7086001274126,37.88753506181263,2013.6799471441284,301.0299639364212,1951.055472097952,53.38195677757267,1956.7654086463544,73.11556670277969,2004.563965626827,263.0443135140304,1961.390627207252,88.3725877225528,1974.8581801551927,130.7334906477097,1951.5619635604498,136.60527448390496
1952.2238712198791,37.53926675670186,2018.3355732218172,332.79559519745914,1953.484295927863,53.42335447112748,1960.1829892699723,79.10390169335562,2007.5270605096025,275.2152354191504,1971.316918844214,105.32296443606754,1979.8343361987415,149.4085869903979,1956.1790910395116,146.11982606372715
